BROKER             | ASSET      | TICKER               | ISIN           | CUR |    AVG_PRC |          QTY
REVOLUT            | CRYPTO     | MATIC                | ---            | EUR |     0.0000 |     2.777284
REVOLUT            | CRYPTO     | POL                  | ---            | EUR |     0.0000 |   136.643234
REVOLUT            | CRYPTO     | SAND                 | ---            | EUR |     0.0000 |     2.241045
REVOLUT            | CRYPTO     | SOL                  | ---            | EUR |     0.0000 |     0.045190
REVOLUT            | CRYPTO     | XLM                  | ---            | EUR |     0.0000 |     8.715731
REVOLUT            | STOCK      | BIDU                 | US0567521085   | USD |   123.3600 |     3.000000
REVOLUT            | STOCK      | BP                   | US0556221044   | USD |    34.3100 |     5.000000
REVOLUT            | STOCK      | GOOGL                | US02079K3059   | USD |   314.0900 |     2.000000
--- SCALABLE_CAPITAL ---
SCALABLE_CAPITAL   | STOCK      | BAIDU INC. O.N.      | KYG070341048   | EUR |     0.0000 |     8.000000
SCALABLE_CAPITAL   | STOCK      | BYD CO. LTD ADR/2 YC | US05606L1008   | EUR |     0.0000 |     3.000000
SCALABLE_CAPITAL   | STOCK      | D-WAVE QUANTUM DL-,0 | US26740W1099   | EUR |     0.0000 |     2.000000
SCALABLE_CAPITAL   | STOCK      | ESSILORLUXOTTICA 1/2 | US2972842007   | EUR |     0.0000 |     4.000000
SCALABLE_CAPITAL   | STOCK      | IS MSCI BRAZ.U.ETF U | IE00B0M63516   | EUR |     0.0000 |     3.000000
SCALABLE_CAPITAL   | STOCK      | ISHSII-MSCI TURKEY D | IE00B1FZS574   | EUR |     0.0000 |     3.000000
SCALABLE_CAPITAL   | STOCK      | ISHSV-S+P500ENER.SEC | IE00B42NKQ00   | EUR |     0.0000 |    10.000000
SCALABLE_CAPITAL   | STOCK      | NOVO-NORDISK AS B DK | DK0062498333   | EUR |     0.0000 |    -3.000000
SCALABLE_CAPITAL   | STOCK      | NVIDIA CORP. DL-,001 | US67066G1040   | EUR |     0.0000 |    12.000000
SCALABLE_CAPITAL   | STOCK      | RIVIAN AUTOMOT.A DL- | US76954A1034   | EUR |     0.0000 |     5.000000
SCALABLE_CAPITAL   | STOCK      | TENCENT HLDGS HD-,00 | KYG875721634   | EUR |     0.0000 |    13.000000
SCALABLE_CAPITAL   | STOCK      | TESLA INC. DL -,001  | US88160R1014   | EUR |     0.0000 |    12.000000
SCALABLE_CAPITAL   | STOCK      | UBER TECH. DL-,00001 | US90353T1007   | EUR |     0.0000 |     6.000000
--- TRADEREPUBLIC ---
TRADEREPUBLIC      | STOCK      | DE0005313704         | DE0005313704   | EUR |    52.7600 |     3.000000
TRADEREPUBLIC      | STOCK      | FR0000121329         | FR0000121329   | EUR |   255.1600 |     1.000000
TRADEREPUBLIC      | STOCK      | KYG017191142         | KYG017191142   | EUR |   104.5900 |     5.000000
TRADEREPUBLIC      | STOCK      | NL0010273215         | NL0010273215   | EUR |   707.1500 |     2.000000
TRADEREPUBLIC      | STOCK      | NL0011585146         | NL0011585146   | EUR |   444.5000 |     1.000000
